리얼월드 HTTP : 역사와 코드로 배우는 인터넷과 웹 기술,시부카와 요시키,30,000원
데이터를 부탁해 : 세상을 움직이는 데이터의 힘,전익진,12,000원
지금 당장 마케팅 공부하라(최신개정판),구자룡,19,500원
제프리 리처의 Windows via C/C++(복간판),제프리 리처 외 1명,42,000원
초보자를 위한 유니티 입문(개정판) : 따라 하면서 배우는 2D & 3D 게임 개발,아라카와 다쿠야 외 1명,28,000원
미라클 모닝 밀리어네어,할 엘로드 외 1명,15,000원
이것이 MariaDB다,우재남,30,000원
재미있고 빠른 첫 편지 쓰기,한빛학습연구회,7,500원
회사에서 바로 통하는 실무 엑셀,한은숙,19,800원
일터의 품격,도나 힉스,16,000원
파이썬 라이브러리를 활용한 머신러닝(번역개정판) : 사이킷런 핵심 개발자가 쓴 머신러닝과 데이터 과학 실무서,안드레아스 뮐러 외 1명,32,000원
파이썬으로 웹 크롤러 만들기(2판) : 초간단 나만의 웹 크롤러로 원하는 데이터를 가져오는 방법,라이언 미첼,25,000원
2019 전기공사기사 실기,김상훈,35,000원
2019 전기공사산업기사 실기,김상훈,35,000원
맛있는 디자인 포토샵 CC 2019,윤이사라 외 1명,21,000원
알고리즘이 욕망하는 것들,에드 핀,18,000원
한 권으로 좌뇌 개발 • 우뇌 개발 똑똑한 두뇌 연습 만 3세,창의수학연구소,9,800원
한 권으로 좌뇌 개발 • 우뇌 개발 똑똑한 두뇌 연습 만 4세,창의수학연구소,9,800원
한 권으로 좌뇌 개발 • 우뇌 개발 똑똑한 두뇌 연습 만 5세,창의수학연구소,9,800원
카카오톡, 라인, 아이 메시지&페이스북 메신저와 함께하는  이모티콘으로 돈벌기,김영삼,18,000원
더 나은 세상을 위한 소프트 디지털,최장현,16,000원
치앙마이를 가장 멋지게 여행하는 방법(2019~2020년 최신판),신중숙 외 1명,16,500원
을의 철학,송수진,15,800원
나도 영어 잘하면 소원이 없겠네,박선생,13,800원
이렇게 쉬운 통계학,혼마루 료,16,000원
경제학자의 다이어트,크리스토퍼 페인 외 1명,16,000원
나는 아마존에서 미래를 다녔다,박정준,15,000원
엑셀만 알아도 할 수 있는 데이터 과학,우와후지 이치로우 외 3명,19,800원
2019 전기산업기사 실기,김상훈,32,000원
2019 전기기사 실기,김상훈,32,000원
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판),노경섭,28,000원
소문난 명강의 : 레트로의 유니티 게임 프로그래밍 에센스,이제민(레트로),60,000원
실습과 그림으로 배우는 리눅스 구조,다케우치 사토루,24,000원
리얼 도쿄,양미석,17,000원
좀비 육아,제임스 브레이크웰,15,800원
하이퍼레저 블록체인 개발,니틴 가워 외 5명,34,000원
PHP & MySQL 닌자 비법서,톰 버틀러 Tom Butler 외 1명,35,000원
재미있고 빠른 첫 한글 1권 : 모음,한빛학습연구회,6,500원
재미있고 빠른 첫 한글 2권 : 자음,한빛학습연구회,6,500원
재미있고 빠른 첫 한글 3권 : 가나다,한빛학습연구회,6,500원
좋은 선택, 나쁜 선택,최희탁,14,800원
텐서플로를 활용한 머신러닝,니샨트 수클라,30,000원
나도 수채화 잘 그리면 소원이 없겠네,차유정(위시유),13,800원
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2019,김덕영 외 3명,23,000원
만화로 보는 성차별의 역사,솔다드 브라비 Soledad Bravi 외 1명,14,000원
이산수학 : tool 중심으로 이해하는 새로운 시각,박두순,24,000원
IT CookBook, 따라 하면서 배우는 마이크로컨트롤러,허경용,28,000원
맛있는 디자인 포토샵&일러스트레이터 CC 2019,박정아 외 1명,22,000원
일자리 빅뱅이 다가온다,대럴 M. 웨스트 Darrell M. West,16,800원
2019 전기기능사 필기,김정현,18,000원
